"","Var1","Freq"
"930","PTH",6
"931","RAB27B",6
"932","RBPMS2",6
"933","REG1A",6
"934","REG1B",6
"935","SARG",6
"936","SBSN",6
"937","SCARA5",6
"938","SCGN",6
"939","SCPEP1",6
"940","SDHB",6
"941","SEMA4D",6
"942","SERPINA4",6
"943","SERPINC1",6
"944","SERPINI1",6
"945","SLAMF1",6
"946","SPARCL1",6
"947","SPESP1",6
"948","STC1",6
"949","TBL1X",6
"950","TGOLN2",6
"951","THBS4",6
"952","TIMP1",6
"953","TNFRSF14",6
"954","TNFRSF19",6
"955","TNFRSF4",6
"956","TNFRSF9",6
"957","TNXB",6
"958","TOMM20",6
"959","TXNRD1",6
"960","VASN",6
"961","VEGFB",6
"962","VSIG2",6
"963","ACRBP",5
"964","ACVRL1",5
"965","ADAMTS15",5
"966","ADH1B",5
"967","ADH4",5
"968","AGR2",5
"969","ALPI",5
"970","AMN",5
"971","ANGPTL2",5
"972","APLP1",5
"973","APOD",5
"974","ARG1",5
"975","ART3",5
"976","ATRN",5
"977","ATXN10",5
"978","BAG3",5
"979","BAIAP2",5
"980","BMP4",5
"981","BRDT",5
"982","BST1",5
"983","BTC",5
"984","C1RL",5
"985","C2",5
"986","C3",5
"987","C9",5
"988","CA5A",5
"989","CBLN4",5
"990","CCL20",5
"991","CCL7",5
"992","CD4",5
"993","CD59",5
"994","CD7",5
"995","CD8A",5
"996","CD93",5
"997","CDH15",5
"998","CDKN2D",5
"999","CEP20",5
"1000","CGREF1",5
"1001","CHRDL2",5
"1002","CIRBP",5
"1003","CLSTN2",5
"1004","CPA2",5
"1005","CPOX",5
"1006","CRHBP",5
"1007","CRYZL1",5
"1008","CST3",5
"1009","CXCL1",5
"1010","CXCL9",5
"1011","DNAJC21",5
"1012","DNAJC6",5
"1013","DPEP2",5
"1014","DPP10",5
"1015","DPP4",5
"1016","EBAG9",5
"1017","ECHDC3",5
"1018","EDA2R",5
"1019","EDIL3",5
"1020","EFNA1",5
"1021","EGLN1",5
"1022","EIF4B",5
"1023","ENPP6",5
"1024","EPPK1",5
"1025","F11",5
"1026","FABP2",5
"1027","FAM13A",5
"1028","FAM3D",5
"1029","FBLN2",5
"1030","FBP1",5
"1031","FCRL3",5
"1032","FETUB",5
"1033","FGF19",5
"1034","FRZB",5
"1035","FTCD",5
"1036","FXN",5
"1037","GATD3",5
"1038","GHR",5
"1039","GMPR2",5
"1040","GPNMB",5
"1041","GSN",5
"1042","HRG",5
"1043","IFI30",5
"1044","IFIT3",5
"1045","IFNL1",5
"1046","IGDCC4",5
"1047","IGFBP2",5
